Date,Price,Change %
2020-12-31,204.580,0.62%
2020-12-30,203.320,-0.33%
2020-12-29,204.000,-0.01%
2020-12-28,204.020,0.41%
2020-12-24,203.190,0.32%
2020-12-23,202.540,0.16%
2020-12-22,202.210,0.30%
2020-12-21,201.610,-0.62%
2020-12-18,202.860,-0.24%
2020-12-17,203.340,0.30%
2020-12-16,202.740,0.14%
2020-12-15,202.460,0.70%
2020-12-14,201.050,-0.23%
2020-12-11,201.510,0.01%
2020-12-10,201.490,-0.44%
2020-12-09,202.390,-0.29%
2020-12-08,202.970,0.40%
2020-12-07,202.160,-0.07%
2020-12-04,202.300,0.85%
2020-12-03,200.600,-0.38%
2020-12-02,201.370,-0.18%
2020-12-01,201.740,0.42%
2020-11-30,200.890,-0.80%
2020-11-27,202.510,0.12%
2020-11-26,202.270,0.03%
2020-11-25,202.210,-0.23%
2020-11-24,202.680,1.12%
2020-11-23,200.430,0.57%
2020-11-20,199.290,-0.36%
2020-11-19,200.010,0.43%
2020-11-18,199.150,-0.58%
2020-11-17,200.320,-0.44%
2020-11-16,201.200,1.13%
2020-11-13,198.950,0.82%
2020-11-12,197.340,-1.27%
2020-11-11,199.880,1.48%
2020-11-10,196.960,0.13%
2020-11-09,196.700,1.74%
2020-11-06,193.340,-0.25%
2020-11-05,193.830,1.07%
2020-11-04,191.770,2.17%
2020-11-03,187.690,1.21%
2020-11-02,185.440,1.37%
2020-10-30,182.930,-1.01%
2020-10-29,184.800,1.33%
2020-10-28,182.370,-2.39%
2020-10-27,186.830,-0.57%
2020-10-26,187.910,-1.52%
2020-10-23,190.820,0.33%
2020-10-22,190.200,0.53%
2020-10-21,189.190,-0.56%
2020-10-20,190.260,-0.09%
2020-10-19,190.440,-1.54%
2020-10-16,193.420,0.09%
2020-10-15,193.250,-0.21%
2020-10-14,193.650,-0.65%
2020-10-13,194.920,0.03%
2020-10-12,194.870,1.34%
2020-10-09,192.290,0.29%
2020-10-08,191.730,0.78%
2020-10-07,190.250,1.38%
2020-10-06,187.660,-0.86%
2020-10-05,189.280,1.18%
2020-10-02,187.080,-0.56%
2020-10-01,188.140,0.38%
2020-09-30,187.430,0.37%
2020-09-29,186.740,-0.85%
2020-09-28,188.340,2.75%
2020-09-24,183.300,0.16%
