Date,Price,Change %
2020-12-30,253.84,0.01%
2020-12-29,253.82,0.11%
2020-12-28,253.55,-0.25%
2020-12-23,254.18,-0.37%
2020-12-22,255.13,0.28%
2020-12-21,254.41,0.02%
2020-12-18,254.35,-0.06%
2020-12-17,254.50,-0.23%
2020-12-16,255.09,-0.05%
2020-12-15,255.23,-0.11%
2020-12-14,255.52,-0.13%
2020-12-11,255.84,0.17%
2020-12-10,255.41,-0.11%
2020-12-09,255.69,0.21%
2020-12-08,255.16,0.17%
2020-12-07,254.72,0.39%
2020-12-04,253.74,0.39%
2020-12-03,252.75,-1.13%
2020-12-02,255.63,0.17%
2020-12-01,255.20,-0.87%
2020-11-30,257.43,-0.05%
2020-11-27,257.57,-0.17%
2020-11-26,258.01,0.05%
2020-11-25,257.88,0.10%
2020-11-24,257.63,-0.44%
2020-11-23,258.78,-0.03%
2020-11-20,258.85,0.15%
2020-11-19,258.47,0.02%
2020-11-18,258.41,0.29%
2020-11-17,257.67,0.03%
2020-11-16,257.60,-0.59%
2020-11-13,259.12,0.63%
2020-11-12,257.51,-0.53%
2020-11-11,258.87,0.84%
2020-11-10,256.72,-0.70%
2020-11-09,258.53,0.02%
2020-11-06,258.47,-0.46%
2020-11-05,259.67,-0.36%
2020-11-04,260.60,0.47%
2020-11-03,259.37,-0.49%
2020-11-02,260.66,0.14%
2020-10-30,260.30,-0.12%
2020-10-29,260.61,0.56%
2020-10-28,259.17,0.26%
2020-10-27,258.50,0.23%
2020-10-26,257.90,0.46%
2020-10-23,256.71,-0.24%
2020-10-22,257.34,-0.54%
2020-10-21,258.75,0.30%
2020-10-20,257.98,-0.20%
2020-10-19,258.50,-0.57%
2020-10-16,259.99,0.04%
2020-10-15,259.89,0.13%
2020-10-14,259.56,0.24%
2020-10-13,258.95,0.31%
2020-10-12,258.14,0.24%
2020-10-09,257.51,-0.04%
2020-10-08,257.62,0.06%
2020-10-07,257.47,0.01%
2020-10-06,257.45,-0.08%
2020-10-05,257.65,-0.67%
2020-10-02,259.38,0.27%
2020-10-01,258.68,0.10%
2020-09-30,258.42,-0.34%
2020-09-29,259.30,-0.32%
2020-09-28,260.13,-0.17%
2020-09-25,260.56,0.20%
