Date,Price,Vol.,Change %
2020-12-31,80.62,0.92K,0.25%
2020-12-30,80.42,0.50K,-0.54%
2020-12-29,80.86,4.72K,0.93%
2020-12-24,80.11,0.50K,-0.37%
2020-12-23,80.40,3.89K,-1.20%
2020-12-22,81.39,1.45K,0.00%
2020-12-21,81.39,2.29K,0.89%
2020-12-18,80.67,1.57K,0.71%
2020-12-17,80.11,2.23K,-0.51%
2020-12-16,80.51,2.04K,-0.31%
2020-12-15,80.76,2.15K,-0.66%
2020-12-14,81.31,2.12K,-0.95%
2020-12-11,82.08,0.27K,0.71%
2020-12-10,81.51,3.71K,0.84%
2020-12-09,80.83,1.47K,-0.36%
2020-12-08,81.13,1.95K,-0.01%
2020-12-07,81.14,0.95K,1.06%
2020-12-04,80.29,6.67K,-0.20%
2020-12-03,80.44,1.91K,-0.61%
2020-12-02,80.94,0.83K,0.44%
2020-12-01,80.58,0.74K,-0.48%
2020-11-30,80.97,2.85K,0.06%
2020-11-27,80.93,2.55K,0.19%
2020-11-26,80.77,1.62K,0.48%
2020-11-25,80.39,3.49K,-0.18%
2020-11-24,80.53,1.55K,-0.24%
2020-11-23,80.72,1.10K,-0.03%
2020-11-20,80.75,3.16K,-0.27%
2020-11-19,80.97,0.53K,0.54%
2020-11-18,80.54,0.63K,-0.08%
2020-11-17,80.60,4.44K,-0.22%
2020-11-16,80.78,1.67K,0.02%
2020-11-13,80.76,0.12K,0.04%
2020-11-12,80.74,0.58K,0.80%
2020-11-11,80.10,0.63K,-0.12%
2020-11-10,80.19,0.92K,-0.61%
2020-11-09,80.68,2.13K,-0.43%
2020-11-06,81.04,2.14K,-0.44%
2020-11-05,81.39,2.23K,-0.23%
2020-11-04,81.58,0.41K,1.42%
2020-11-03,80.44,1.00K,-1.09%
2020-11-02,81.32,0.87K,0.59%
2020-10-30,80.85,0.33K,-0.60%
2020-10-29,81.33,0.29K,0.13%
2020-10-28,81.23,2.20K,0.31%
2020-10-27,80.97,1.08K,-0.09%
2020-10-26,81.05,2.81K,0.24%
2020-10-23,80.86,0.79K,0.45%
2020-10-22,80.50,0.50K,-0.01%
2020-10-21,80.50,1.24K,-1.22%
2020-10-20,81.50,3.43K,0.14%
2020-10-19,81.39,0.85K,-0.41%
2020-10-16,81.72,3.18K,0.03%
2020-10-15,81.69,1.55K,0.62%
2020-10-14,81.19,0.87K,-0.25%
2020-10-13,81.39,0.59K,0.70%
2020-10-12,80.82,10.20K,-0.30%
2020-10-09,81.07,2.74K,-0.39%
2020-10-08,81.39,1.04K,0.09%
2020-10-07,81.32,1.05K,0.26%
2020-10-06,81.11,4.62K,0.10%
2020-10-05,81.03,1.23K,-0.14%
2020-10-02,81.14,0.40K,-0.34%
2020-10-01,81.42,0.55K,0.20%
2020-09-30,81.26,8.51K,-0.56%
2020-09-29,81.72,1.78K,0.28%
2020-09-28,81.49,0.38K,-0.85%
2020-09-25,82.18,0.33K,-0.09%
2020-09-24,82.25,0.11K,-0.16%
2020-09-23,82.39,1.54K,-0.24%
2020-09-22,82.58,0.70K,0.25%
2020-09-21,82.38,0.24K,0.78%
2020-09-18,81.74,0.01K,-0.01%
2020-09-17,81.75,0.58K,-0.73%
2020-09-16,82.35,0.95K,-0.90%
2020-09-15,83.10,0.36K,0.11%
2020-09-14,83.00,0.22K,-0.52%
2020-09-11,83.43,0.04K,0.84%
2020-09-10,82.74,0.58K,1.01%
2020-09-09,81.91,0.19K,0.07%
2020-09-08,81.86,6.59K,1.03%
2020-09-07,81.02,0.25K,0.17%
2020-09-04,80.88,3.35K,0.03%
2020-09-03,80.86,0.58K,0.21%
2020-09-02,80.68,5.47K,1.24%
2020-09-01,79.69,0.67K,-0.24%
2020-08-28,79.89,0.55K,-0.69%
2020-08-27,80.44,5.33K,-0.29%
2020-08-26,80.68,1.74K,-0.56%
2020-08-25,81.13,0.34K,-0.83%
2020-08-24,81.81,1.81K,0.23%
2020-08-21,81.62,0.33K,0.47%
2020-08-20,81.24,0.17K,0.01%
2020-08-19,81.22,0.20K,0.37%
2020-08-18,80.93,0.66K,-0.75%
2020-08-17,81.54,0.94K,0.22%
2020-08-14,81.36,0.69K,-0.57%
2020-08-13,81.82,0.89K,-0.34%
2020-08-12,82.11,1.07K,0.19%
2020-08-11,81.95,1.45K,-0.46%
2020-08-10,82.33,2.79K,-0.29%
2020-08-07,82.57,0.27K,0.28%
2020-08-06,82.34,4.35K,0.49%
2020-08-05,81.94,0.59K,-0.45%
2020-08-04,82.31,0.36K,0.26%
2020-08-03,82.10,1.43K,0.53%
2020-07-31,81.66,0.36K,-0.75%
2020-07-30,82.28,2.17K,-0.26%
2020-07-29,82.50,7.23K,-0.16%
2020-07-28,82.63,0.26K,-0.54%
2020-07-27,83.07,0.28K,-0.35%
2020-07-24,83.37,0.12K,-0.28%
2020-07-23,83.60,0.98K,-0.05%
2020-07-22,83.64,0.17K,0.22%
2020-07-21,83.46,1.28K,-0.15%
2020-07-20,83.58,1.13K,-0.70%
2020-07-17,84.17,2.29K,0.66%
2020-07-16,83.61,0.82K,0.29%
2020-07-15,83.37,6.04K,-0.25%
2020-07-14,83.58,3.87K,0.69%
2020-07-13,83.01,1.26K,0.24%
2020-07-10,82.81,0.11K,-0.08%
2020-07-09,82.88,2.74K,-0.19%
2020-07-08,83.04,0.66K,0.34%
2020-07-07,82.75,1.44K,-0.76%
2020-07-06,83.39,0.84K,0.02%
2020-07-03,83.37,0.22K,-0.01%
2020-07-02,83.38,0.26K,0.40%
2020-07-01,83.04,0.54K,-0.76%
2020-06-30,83.68,1.03K,-0.48%
2020-06-29,84.08,3.80K,0.72%
2020-06-26,83.49,1.85K,0.69%
2020-06-25,82.92,0.98K,0.34%
2020-06-24,82.64,0.64K,0.13%
2020-06-23,82.53,1.76K,-0.51%
2020-06-22,82.95,1.55K,-0.47%
2020-06-19,83.34,0.95K,0.76%
2020-06-18,82.71,0.99K,0.78%
2020-06-17,82.07,0.41K,-0.10%
2020-06-16,82.15,2.92K,0.54%
2020-06-15,81.71,0.90K,-0.06%
2020-06-12,81.76,2.43K,0.63%
2020-06-11,81.25,0.52K,0.60%
2020-06-10,80.76,0.59K,0.19%
2020-06-09,80.61,0.52K,-0.57%
2020-06-08,81.07,1.20K,0.41%
2020-06-05,80.74,1.33K,-0.63%
2020-06-04,81.25,1.00K,0.25%
2020-06-03,81.04,1.81K,-0.18%
2020-06-02,81.19,0.85K,-0.04%
2020-06-01,81.22,0.49K,-0.75%
2020-05-29,81.83,4.90K,-0.05%
2020-05-28,81.88,0.63K,-0.35%
2020-05-27,82.17,0.57K,1.08%
2020-05-26,81.29,1.08K,-0.70%
2020-05-22,81.87,1.38K,0.11%
2020-05-21,81.78,3.42K,0.82%
2020-05-20,81.11,2.29K,0.07%
2020-05-19,81.06,3.88K,0.06%
2020-05-18,81.01,3.12K,-0.26%
2020-05-15,81.22,2.92K,1.08%
2020-05-14,80.36,0.48K,0.01%
2020-05-13,80.35,1.27K,0.65%
2020-05-12,79.83,10.59K,0.71%
2020-05-11,79.27,0.76K,-0.54%
2020-05-07,79.70,0.17K,0.18%
2020-05-06,79.56,0.39K,-0.09%
2020-05-05,79.63,0.90K,-0.39%
2020-05-04,79.93,1.13K,0.70%
2020-05-01,79.38,1.37K,0.09%
2020-04-30,79.31,0.39K,-0.79%
2020-04-29,79.94,2.77K,0.46%
2020-04-28,79.57,0.22K,-0.43%
2020-04-27,79.92,1.08K,-0.42%
2020-04-24,80.25,1.02K,0.09%
2020-04-23,80.18,0.85K,0.13%
2020-04-22,80.07,0.34K,-0.22%
2020-04-21,80.25,0.83K,0.77%
2020-04-20,79.64,0.72K,-0.23%
2020-04-17,79.82,0.54K,-0.21%
2020-04-16,79.99,0.58K,0.93%
2020-04-15,79.25,0.55K,-0.04%
2020-04-14,79.29,1.33K,-0.83%
2020-04-09,79.95,2.79K,2.94%
2020-04-08,77.67,1.03K,-0.06%
2020-04-07,77.71,5.73K,0.33%
2020-04-06,77.46,0.52K,0.50%
2020-04-03,77.07,1.69K,0.50%
2020-04-02,76.69,0.48K,-0.16%
2020-04-01,76.82,1.32K,-0.61%
2020-03-31,77.29,8.38K,0.21%
2020-03-30,77.13,0.84K,1.61%
2020-03-27,75.91,0.14K,-2.72%
2020-03-26,78.04,5.55K,-1.52%
2020-03-25,79.24,1.45K,1.09%
2020-03-24,78.39,1.63K,-0.46%
2020-03-23,78.75,24.96K,4.92%
2020-03-20,75.05,4.19K,-0.16%
2020-03-19,75.17,8.38K,0.21%
2020-03-18,75.01,2.21K,-1.92%
2020-03-17,76.48,6.59K,0.41%
2020-03-16,76.17,3.57K,-1.65%
2020-03-13,77.45,0.57K,1.65%
2020-03-12,76.19,3.16K,-3.40%
2020-03-11,78.87,5.03K,-1.17%
2020-03-10,79.80,1.46K,0.73%
2020-03-09,79.22,6.45K,-1.89%
2020-03-06,80.75,15.34K,-0.52%
2020-03-05,81.17,8.44K,-0.79%
2020-03-04,81.82,2.23K,0.02%
2020-03-03,81.80,2.82K,0.54%
2020-03-02,81.36,3.60K,0.86%
2020-02-28,80.67,0.47K,0.70%
2020-02-27,80.11,1.00K,0.29%
2020-02-26,79.88,1.95K,0.41%
2020-02-25,79.55,0.69K,-0.57%
2020-02-24,80.01,0.44K,0.35%
2020-02-21,79.73,1.28K,-0.26%
2020-02-20,79.94,0.34K,0.65%
2020-02-19,79.42,0.06K,0.46%
2020-02-18,79.06,0.29K,-0.04%
2020-02-17,79.09,2.19K,0.14%
2020-02-14,78.98,1.72K,0.43%
2020-02-13,78.64,0.15K,-0.66%
2020-02-12,79.16,0.02K,-0.48%
2020-02-11,79.54,0.77K,-0.24%
2020-02-10,79.73,1.16K,-0.04%
2020-02-07,79.76,3.22K,0.40%
2020-02-06,79.44,0.08K,0.34%
2020-02-05,79.17,0.64K,0.11%
2020-02-04,79.08,0.33K,-0.44%
2020-02-03,79.43,2.69K,1.26%
2020-01-31,78.44,21.45K,-0.22%
2020-01-30,78.61,2.33K,-0.64%
2020-01-29,79.12,0.37K,0.08%
2020-01-28,79.06,0.93K,0.37%
2020-01-27,78.77,1.96K,0.22%
2020-01-24,78.60,0.17K,0.41%
2020-01-23,78.28,0.23K,0.22%
2020-01-22,78.11,1.18K,-0.57%
2020-01-21,78.56,0.58K,-0.01%
2020-01-20,78.57,2.32K,0.17%
2020-01-17,78.44,0.25K,0.29%
2020-01-16,78.21,0.28K,-0.36%
2020-01-15,78.49,1.43K,0.09%
2020-01-14,78.42,2.02K,-0.08%
2020-01-13,78.48,0.36K,0.37%
2020-01-10,78.19,7.15K,0.54%
2020-01-09,77.77,0.69K,0.05%
2020-01-08,77.73,1.29K,0.00%
2020-01-07,77.73,0.50K,0.30%
2020-01-06,77.50,0.83K,-0.68%
2020-01-03,78.03,0.88K,0.58%
2020-01-02,77.58,9.20K,0.28%
