Date,Price,Change %
2020-12-31,178.36,0.37%
2020-12-30,177.70,0.77%
2020-12-29,176.35,0.36%
2020-12-28,175.71,-0.36%
2020-12-24,176.35,0.40%
2020-12-23,175.65,0.66%
2020-12-22,174.49,-0.79%
2020-12-21,175.88,-0.32%
2020-12-18,176.44,-0.17%
2020-12-17,176.74,1.05%
2020-12-16,174.90,0.55%
2020-12-15,173.94,1.40%
2020-12-14,171.54,-0.55%
2020-12-11,172.49,0.19%
2020-12-10,172.17,-0.19%
2020-12-09,172.50,-1.71%
2020-12-08,175.50,0.35%
2020-12-07,174.89,1.49%
2020-12-04,172.32,-0.28%
2020-12-03,172.81,0.79%
2020-12-02,171.46,0.75%
2020-12-01,170.18,2.11%
2020-11-30,166.67,-0.67%
2020-11-27,167.79,-1.01%
2020-11-25,169.51,-0.05%
2020-11-24,169.59,-1.53%
2020-11-23,172.23,-1.97%
2020-11-20,175.69,0.30%
2020-11-19,175.16,-0.19%
2020-11-18,175.49,-0.57%
2020-11-17,176.50,-0.37%
2020-11-16,177.15,-0.01%
2020-11-13,177.16,0.68%
2020-11-12,175.96,0.61%
2020-11-11,174.90,-0.43%
2020-11-10,175.66,0.33%
2020-11-09,175.08,-4.43%
2020-11-06,183.19,0.14%
2020-11-05,182.93,2.30%
2020-11-04,178.82,-0.06%
2020-11-03,178.92,0.57%
2020-11-02,177.91,0.97%
2020-10-30,176.20,0.46%
2020-10-29,175.40,-0.41%
2020-10-28,176.13,-1.61%
2020-10-27,179.02,0.26%
2020-10-26,178.55,-0.05%
2020-10-23,178.64,-0.11%
2020-10-22,178.83,-0.98%
2020-10-21,180.60,0.75%
2020-10-20,179.25,0.48%
2020-10-19,178.39,0.05%
2020-10-16,178.30,-0.35%
2020-10-15,178.92,0.36%
2020-10-14,178.27,0.31%
2020-10-13,177.72,-1.57%
2020-10-12,180.56,-0.29%
2020-10-09,181.08,1.82%
2020-10-08,177.85,0.36%
2020-10-07,177.22,-0.05%
2020-10-06,177.30,-1.18%
2020-10-05,179.41,0.49%
2020-10-04,178.54,0.00%
2020-10-03,178.54,0.00%
2020-10-02,178.54,-0.09%
2020-10-01,178.70,0.89%
2020-09-30,177.12,-0.60%
2020-09-29,178.19,0.84%
2020-09-28,176.70,1.01%
2020-09-27,174.94,0.00%
2020-09-26,174.94,0.00%
2020-09-25,174.94,-0.28%
2020-09-24,175.44,0.37%
2020-09-23,174.79,-2.16%
2020-09-22,178.65,-0.48%
2020-09-21,179.52,-2.01%
2020-09-18,183.20,0.13%
2020-09-17,182.96,-0.55%
2020-09-16,183.97,0.28%
2020-09-15,183.45,-0.24%
2020-09-14,183.89,0.79%
2020-09-13,182.45,0.00%
2020-09-11,182.45,-0.01%
2020-09-10,182.46,-0.32%
2020-09-09,183.05,0.97%
2020-09-08,181.29,-0.19%
2020-09-04,181.64,0.28%
2020-09-03,181.14,-0.81%
2020-09-02,182.62,-1.31%
2020-09-01,185.05,0.12%
2020-08-31,184.83,0.24%
2020-08-30,184.39,0.00%
2020-08-28,184.39,1.74%
2020-08-27,181.24,-1.16%
2020-08-26,183.36,1.18%
2020-08-25,181.22,0.12%
2020-08-24,181.00,-0.57%
2020-08-23,182.03,0.00%
2020-08-21,182.03,-0.80%
2020-08-20,183.50,0.69%
2020-08-19,182.24,-3.16%
2020-08-18,188.18,0.90%
2020-08-17,186.50,2.17%
2020-08-14,182.54,-0.43%
2020-08-13,183.33,2.36%
2020-08-12,179.10,-0.47%
2020-08-11,179.94,-5.37%
2020-08-10,190.15,-0.35%
2020-08-09,190.81,0.00%
2020-08-08,190.81,0.00%
2020-08-07,190.81,-1.59%
2020-08-06,193.89,1.33%
2020-08-05,191.35,0.93%
2020-08-04,189.59,2.13%
2020-08-03,185.64,0.11%
2020-08-02,185.43,0.00%
2020-07-31,185.43,0.91%
2020-07-30,183.76,-0.74%
2020-07-29,185.13,0.75%
2020-07-28,183.75,0.83%
2020-07-27,182.23,1.98%
2020-07-26,178.70,0.00%
2020-07-25,178.70,0.00%
2020-07-24,178.70,0.86%
2020-07-23,177.18,0.88%
2020-07-22,175.63,1.52%
2020-07-21,173.00,1.21%
2020-07-20,170.94,0.48%
2020-07-17,170.12,0.82%
2020-07-16,168.73,-0.95%
2020-07-15,170.34,0.09%
2020-07-14,170.19,0.47%
2020-07-13,169.40,0.12%
2020-07-12,169.19,0.00%
2020-07-11,169.19,0.00%
2020-07-10,169.19,-0.26%
2020-07-09,169.63,-0.27%
2020-07-08,170.09,0.62%
2020-07-07,169.04,0.63%
2020-07-06,167.98,0.60%
2020-07-05,166.98,0.00%
2020-07-04,166.98,0.00%
2020-07-02,166.98,0.22%
2020-07-01,166.62,-0.45%
2020-06-30,167.37,0.44%
2020-06-29,166.63,0.05%
2020-06-26,166.54,0.45%
2020-06-25,165.80,-0.06%
2020-06-24,165.90,-0.35%
2020-06-23,166.48,0.84%
2020-06-22,165.09,0.65%
2020-06-19,164.03,1.10%
2020-06-18,162.24,-0.20%
2020-06-17,162.56,0.19%
2020-06-16,162.25,-0.05%
2020-06-15,162.33,-0.18%
2020-06-12,162.62,0.14%
2020-06-11,162.39,-0.72%
2020-06-10,163.57,1.43%
2020-06-09,161.26,0.96%
2020-06-08,159.72,1.08%
2020-06-07,158.01,0.00%
2020-06-05,158.01,-2.03%
2020-06-04,161.28,1.05%
2020-06-03,159.60,-1.85%
2020-06-02,162.60,-0.65%
2020-06-01,163.66,0.46%
2020-05-29,162.91,0.74%
2020-05-28,161.72,0.34%
2020-05-27,161.18,0.18%
2020-05-26,160.89,-1.42%
2020-05-22,163.21,0.59%
2020-05-21,162.25,-1.46%
2020-05-20,164.65,0.24%
2020-05-19,164.26,0.97%
2020-05-18,162.69,-0.76%
2020-05-15,163.93,0.56%
2020-05-14,163.01,0.89%
2020-05-13,161.58,0.96%
2020-05-12,160.04,0.39%
2020-05-11,159.42,-0.62%
