Date,Price,Vol.,Change %
2020-12-31,89.94,-,0.29%
2020-12-30,89.68,-,-0.34%
2020-12-29,89.99,-,-0.39%
2020-12-28,90.34,-,0.02%
2020-12-25,90.32,-,0.00%
2020-12-24,90.32,-,-0.10%
2020-12-23,90.41,-,-0.26%
2020-12-22,90.65,-,0.68%
2020-12-21,90.04,-,0.02%
2020-12-18,90.02,-,0.22%
2020-12-17,89.82,-,-0.70%
2020-12-16,90.45,-,-0.02%
2020-12-15,90.47,-,-0.26%
2020-12-14,90.71,-,-0.30%
2020-12-11,90.98,-,0.18%
2020-12-10,90.82,-,-0.30%
2020-12-09,91.09,-,0.13%
2020-12-08,90.97,-,0.20%
2020-12-07,90.79,-,0.10%
2020-12-04,90.70,-,-0.01%
2020-12-03,90.71,-,-0.45%
2020-12-02,91.12,-,-0.21%
2020-12-01,91.31,-,-0.61%
2020-11-30,91.87,-,0.09%
2020-11-27,91.79,-,-0.22%
2020-11-26,91.99,-,0.00%
2020-11-25,91.99,-,-0.26%
2020-11-24,92.23,-,-0.29%
2020-11-23,92.50,-,0.12%
2020-11-20,92.39,-,0.11%
2020-11-19,92.29,-,-0.03%
2020-11-18,92.32,-,-0.11%
2020-11-17,92.42,-,-0.24%
2020-11-16,92.64,-,-0.12%
2020-11-13,92.75,-,-0.23%
2020-11-12,92.96,-,-0.09%
2020-11-11,93.04,-,0.31%
2020-11-10,92.75,-,0.03%
2020-11-09,92.72,-,0.53%
2020-11-06,92.23,-,-0.32%
2020-11-05,92.53,-,-0.94%
2020-11-04,93.41,-,-0.15%
2020-11-03,93.55,-,-0.62%
2020-11-02,94.13,-,0.10%
2020-10-30,94.04,-,0.10%
2020-10-29,93.95,-,0.58%
2020-10-28,93.41,-,0.51%
2020-10-27,92.94,-,-0.12%
2020-10-26,93.05,-,0.30%
2020-10-23,92.77,-,-0.19%
2020-10-22,92.95,-,0.37%
2020-10-21,92.61,-,-0.49%
2020-10-20,93.07,-,-0.39%
2020-10-19,93.43,-,-0.27%
2020-10-16,93.68,-,-0.19%
2020-10-15,93.86,-,0.51%
2020-10-14,93.38,-,-0.16%
2020-10-13,93.53,-,0.51%
2020-10-12,93.06,-,0.00%
2020-10-09,93.06,-,-0.59%
2020-10-08,93.61,-,-0.02%
2020-10-07,93.63,-,-0.06%
2020-10-06,93.69,-,0.19%
2020-10-05,93.51,-,-0.35%
2020-10-02,93.84,-,0.14%
2020-10-01,93.71,-,-0.19%
2020-09-30,93.89,-,0.00%
2020-09-29,93.89,-,-0.41%
